STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,CLIMATE_CHANGE_INDICATORS,Climate Change Indicators,GEO_PICT,Pacific Island Countries and territories,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,ERROR_TYPE,Error type,ERROR_VAL,Error value,REPORTING_TYPE,Reporting Type,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,1992,,71,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,1993,,71,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,1994,,71,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,1995,,71,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,1996,,71,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,1997,,71,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,1998,,71,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,1999,,71,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,2000,,71,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,2001,,71,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,ALT_LAND_COVER,Climate Altering Land Cover Index (CALCI),PW,Palau,2002,,71,,,,PERCENT,percent,,,,,N,National,,
